#GO	IC	Frequency
GO:0044714	8.473805167236682	3.358882663114035e-09
GO:1900672	8.473805167236682	3.358882663114035e-09
GO:0004846	4.59814232586147	2.5226539193997548e-05
GO:0032642	4.725694699741699	1.880638403077548e-05
GO:0031220	8.39775853034297	4.001671826459002e-09
GO:0090295	7.432412482078457	3.694770929425438e-08
GO:0006102	4.111888548568039	7.728789007825393e-05
GO:0015593	8.69878852600695	2.000835913229501e-09
GO:0019527	6.702953155594538	1.9817407712372803e-07
GO:0071560	5.053849418746925	8.833861403989911e-06
GO:0047658	6.847530177287875	1.4205934983929457e-07
GO:0047871	8.69878852600695	2.000835913229501e-09
GO:0061849	6.665364770520001	2.160902786287861e-07
GO:1990148	8.415803608070267	3.838808006505121e-09
GO:1990159	7.716833603734248	1.9194040032525604e-08
GO:1903394	6.840336711657096	1.444319545139035e-07
GO:0055018	6.456771827937902	3.493237969638596e-07
GO:0007009	3.918251262887001	0.00012071152514699218
GO:0005476	7.5848451737001135	2.601086687198351e-08
GO:0043950	5.877208071610222	1.3267586519300436e-06
GO:0009342	8.114773612406285	7.677616013010242e-09
GO:2000825	6.208987344227146	6.180344100129824e-07
GO:0033457	8.69878852600695	2.000835913229501e-09
GO:0005159	5.795156009922713	1.6026695664968302e-06
GO:0033485	7.774835162900664	1.6794413315570172e-08
GO:0033656	8.473805167236682	3.358882663114035e-09
GO:0018335	6.089989801256252	8.128496044735964e-07
GO:0003432	8.473805167236682	3.358882663114035e-09
GO:0050018	8.69878852600695	2.000835913229501e-09
GO:0072118	6.99668391251702	1.0076647989342105e-07
GO:0045061	5.358860751524098	4.376624110037587e-06
GO:0075521	3.991031597161946	0.00010208652078002486
GO:0034536	8.69878852600695	2.000835913229501e-09
GO:0099641	6.238276720329134	5.77727818055614e-07
GO:0030758	8.69878852600695	2.000835913229501e-09
GO:0047243	8.096728534678988	8.003343652918004e-09
GO:0016751	3.7907541202826858	0.0001618996387548783
GO:0001611	8.69878852600695	2.000835913229501e-09
GO:0034354	4.072852939375779	8.45565121612327e-05
GO:0103061	8.69878852600695	2.000835913229501e-09
GO:0052582	7.9206372756233066	1.2005015479377005e-08
GO:0044729	6.300848517334913	5.002089783073752e-07
GO:0010774	6.420726723753263	3.795537409318859e-07
GO:0030792	6.616003155690501	2.421011455007696e-07
GO:0008952	8.69878852600695	2.000835913229501e-09
GO:0090228	5.8148403245722475	1.5316504943799998e-06
GO:0052778	5.395711016830272	4.020582547747499e-06
GO:1902949	6.327677131558445	4.7024357283596487e-07
GO:0047954	8.69878852600695	2.000835913229501e-09
GO:0032725	5.703689872449581	1.9783818885741663e-06
GO:0006094	2.6187653931106745	0.0024056619932662396
GO:0030377	8.221667271287288	6.0025077396885024e-09
GO:0061647	5.881628409840816	1.3133231212775876e-06
GO:0018974	7.151585872502763	7.053653592539473e-08
GO:0015187	5.004973672117534	9.886130247266963e-06
GO:0033490	6.955291227358795	1.1084312788276315e-07
GO:1900507	8.473805167236682	3.358882663114035e-09
GO:0018231	4.9825835909973994	1.0409177372990393e-05
GO:0035843	8.415803608070267	3.838808006505121e-09
GO:1902731	5.959257414576396	1.0983546308382893e-06
GO:0021942	6.353231236030832	4.433725115310526e-07
GO:0102272	8.69878852600695	2.000835913229501e-09
GO:0070865	6.644951596428123	2.2648967238380216e-07
GO:1902018	5.507194180554748	3.1103253460435963e-06
GO:1990402	6.145425563797945	7.154420072432894e-07
GO:0030918	8.473805167236682	3.358882663114035e-09
GO:0050577	4.0655726406478605	8.59859233710378e-05
GO:0102975	8.096728534678988	8.003343652918004e-09
GO:1904526	6.063872043905388	8.632328444203069e-07
GO:0071504	6.245918462623009	5.676511700662718e-07
GO:0021656	8.473805167236682	3.358882663114035e-09
GO:0060710	6.131382486414476	7.389541858850877e-07
GO:0060646	8.473805167236682	3.358882663114035e-09
GO:0052667	6.725660672407252	1.8807857584357308e-07
GO:2000683	6.204292223018767	6.247521753392104e-07
GO:0009862	5.22460680984557	5.962016727027412e-06
GO:0070285	6.225831900874876	5.945222313711842e-07
GO:0110035	7.999818521670932	1.0004179566147504e-08
GO:0003063	7.87174517590872	1.343553065245614e-08
GO:0099636	7.432412482078457	3.694770929425438e-08
GO:0061661	8.69878852600695	2.000835913229501e-09
GO:0005895	6.8476018840032715	1.4203589624068948e-07
GO:1902158	8.473805167236682	3.358882663114035e-09
GO:0042621	7.359861814929846	4.366547462048245e-08
GO:0042721	4.4165425369571665	3.8322820328940623e-05
GO:0075011	8.473805167236682	3.358882663114035e-09
GO:0048913	8.473805167236682	3.358882663114035e-09
GO:0051305	5.666947137717865	2.153043787056096e-06
GO:0046350	8.473805167236682	3.358882663114035e-09
GO:0032376	5.163962162520612	6.855479515415745e-06
GO:0061317	6.733442477742439	1.8473854647127192e-07
GO:0035397	7.026647135894463	9.404871456719297e-08
GO:0140954	6.685951301301778	2.060860990626386e-07
GO:0031035	6.448499301971912	3.5604156229008767e-07
GO:0000256	3.7935784677405664	0.00016085017297120488
GO:0032480	4.99668391251702	1.0076647989342104e-05
GO:0016061	8.1727751715727	6.71776532622807e-09
GO:0015153	5.023010184332866	9.483962228707834e-06
GO:0048370	8.1727751715727	6.71776532622807e-09
GO:0043050	6.413107326883071	3.86271506258114e-07
GO:0097011	5.8423613982235105	1.4376017798128069e-06
GO:0072264	7.99668391251702	1.0076647989342104e-08
GO:1903447	8.473805167236682	3.358882663114035e-09
GO:2000643	5.798944026498871	1.5887514996529384e-06
GO:0002178	5.341718919042023	4.552826295715074e-06
GO:0106126	8.415803608070267	3.838808006505121e-09
GO:0072149	6.432412482078457	3.6947709294254384e-07
GO:0047221	8.69878852600695	2.000835913229501e-09
GO:1902459	5.735024608752314	1.840667699386491e-06
GO:0070689	4.838623118580415	1.4500296456663288e-05
GO:0070886	5.510489655850571	3.086813167401798e-06
GO:1900383	8.1727751715727	6.71776532622807e-09
GO:0060932	6.133361052396564	7.355953032219736e-07
GO:0033714	8.69878852600695	2.000835913229501e-09
GO:0071921	4.661962161060205	2.17789951876314e-05
GO:0036307	4.383553116389224	4.1347274146887634e-05
GO:0102084	5.570389257289144	2.689123467380449e-06
GO:0045428	5.166095243831876	6.821890688784605e-06
GO:1990869	5.503923523490183	3.133837524685394e-06
GO:0042225	8.473805167236682	3.358882663114035e-09
GO:0090432	7.744546016567625	1.800752321906551e-08
GO:1901749	6.413107326883071	3.86271506258114e-07
GO:0080063	8.473805167236682	3.358882663114035e-09
GO:1905334	6.9353605324440135	1.1604848296731105e-07
